,Open time,Open,High,Low,Close,Volume,Closetime,Quote Asset Volume,Number of Traders,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,a
0,1589950800000,0.00175690,0.00176140,0.00175500,0.00175990,15054.12000000,1589954399999,26.47467071,1246,6598.41000000,11.60634332,0
1,1589954400000,0.00175930,0.00176800,0.00175080,0.00176080,29964.23000000,1589957999999,52.69021982,2373,13186.19000000,23.19081664,0
2,1589958000000,0.00176080,0.00176380,0.00175370,0.00175940,16837.06000000,1589961599999,29.59103016,1623,9723.17000000,17.09166244,0
3,1589961600000,0.00175940,0.00176170,0.00175400,0.00175750,22919.26000000,1589965199999,40.28536406,1959,9991.74000000,17.57052308,0
4,1589965200000,0.00175810,0.00176150,0.00175230,0.00175740,23270.21000000,1589968799999,40.88878573,1723,7918.07000000,13.91814634,0
5,1589968800000,0.00175720,0.00176390,0.00175560,0.00175730,13593.32000000,1589972399999,23.93553246,1441,7189.11000000,12.65741535,0
6,1589972400000,0.00175840,0.00176360,0.00175500,0.00175920,12717.16000000,1589975999999,22.37457140,1641,6945.48000000,12.22255055,0
7,1589976000000,0.00175910,0.00176060,0.00175610,0.00175860,13044.01000000,1589979599999,22.94105067,1586,5766.30000000,10.14260917,0
8,1589979600000,0.00175860,0.00176390,0.00175610,0.00176170,33708.27000000,1589983199999,59.36344510,1612,15182.75000000,26.73124833,0
9,1589983200000,0.00176140,0.00176390,0.00175970,0.00176330,41662.30000000,1589986799999,73.40720588,1320,29443.30000000,51.87877789,0
10,1589986800000,0.00176340,0.00178000,0.00175300,0.00176930,69549.07000000,1589990399999,122.66077463,5602,39298.89000000,69.37936295,0
11,1589990400000,0.00176930,0.00177140,0.00175560,0.00176460,25757.60000000,1589993999999,45.45786769,2770,12748.77000000,22.50510991,0
12,1589994000000,0.00176460,0.00177270,0.00176280,0.00176300,22571.11000000,1589997599999,39.86474959,2040,11514.21000000,20.34002199,0
13,1589997600000,0.00176290,0.00176580,0.00176280,0.00176360,20500.45000000,1590001199999,36.14769572,1500,5180.67000000,9.13855274,0
14,1590001200000,0.00176370,0.00176420,0.00175700,0.00175810,20954.74000000,1590004799999,36.88568405,1646,10298.19000000,18.12181183,0
15,1590004800000,0.00175830,0.00176560,0.00175520,0.00176140,23729.44000000,1590008399999,41.75097591,1381,10779.00000000,18.97333275,0
16,1590008400000,0.00176140,0.00177370,0.00176130,0.00177050,71224.83000000,1590011999999,126.02253402,1725,56649.33000000,100.23283840,0
17,1590012000000,0.00177050,0.00177750,0.00176690,0.00177630,77715.93000000,1590015599999,137.82345124,1469,66733.99000000,118.37290501,0
18,1590015600000,0.00177630,0.00178300,0.00176890,0.00177650,81997.36000000,1590019199999,145.59656710,1929,60976.01000000,108.28243707,0
19,1590019200000,0.00177650,0.00178400,0.00177340,0.00178040,32405.15000000,1590022799999,57.64735086,1766,21921.54000000,39.00542082,0
20,1590022800000,0.00178020,0.00178600,0.00177690,0.00178250,35005.08000000,1590026399999,62.45359767,1413,19299.95000000,34.44030128,0
21,1590026400000,0.00178260,0.00178600,0.00178000,0.00178440,28796.93000000,1590029999999,51.34834249,1073,12929.67000000,23.05866999,0
22,1590030000000,0.00178450,0.00178560,0.00178100,0.00178140,38241.57000000,1590033599999,68.18688260,1080,14095.13000000,25.13433584,0
23,1590033600000,0.00178150,0.00178420,0.00176600,0.00177020,45677.20000000,1590037199999,81.04921489,2314,17410.39000000,30.92557811,0
24,1590037200000,0.00177010,0.00177500,0.00176480,0.00177010,36733.67000000,1590040799999,65.01317365,1447,7147.44000000,12.65572588,0
25,1590040800000,0.00177010,0.00177300,0.00176600,0.00176760,35224.96000000,1590044399999,62.30215633,1245,5162.98000000,9.13679703,0
26,1590044400000,0.00176760,0.00177000,0.00176220,0.00176700,30229.35000000,1590047999999,53.40459945,1822,5272.21000000,9.31517804,0
27,1590048000000,0.00176720,0.00177300,0.00175440,0.00175590,39089.25000000,1590051599999,68.92800745,3841,19089.80000000,33.67908739,0
28,1590051600000,0.00175600,0.00176690,0.00175490,0.00176460,18154.61000000,1590055199999,31.96057006,1878,10874.56000000,19.14352425,0
29,1590055200000,0.00176460,0.00177290,0.00176200,0.00176460,14350.37000000,1590058799999,25.34680024,1879,10511.95000000,18.57017825,0
30,1590058800000,0.00176440,0.00177060,0.00176210,0.00176850,7329.26000000,1590062399999,12.95486168,1149,3160.65000000,5.58619871,0
31,1590062400000,0.00176810,0.00177020,0.00176500,0.00176810,5520.78000000,1590065999999,9.76016052,1198,3176.08000000,5.61668033,0
32,1590066000000,0.00176810,0.00178000,0.00176430,0.00177680,38305.54000000,1590069599999,67.90764485,2666,23796.87000000,42.19989477,0
33,1590069600000,0.00177670,0.00179600,0.00177000,0.00179510,92886.13000000,1590073199999,165.54174571,7487,55389.52000000,98.75565360,0
34,1590073200000,0.00179530,0.00179700,0.00177500,0.00177680,37680.40000000,1590076799999,67.10068411,3391,16229.31000000,28.88677781,0
35,1590076800000,0.00177680,0.00178780,0.00177540,0.00177950,26422.77000000,1590080399999,47.05981647,2258,14051.35000000,25.03436506,0
36,1590080400000,0.00177950,0.00179000,0.00177780,0.00178660,16064.34000000,1590083999999,28.66326137,1642,9097.93000000,16.23631745,0
37,1590084000000,0.00178740,0.00181470,0.00178260,0.00178290,75345.00000000,1590087599999,135.62032250,6578,41644.09000000,74.98559401,0
38,1590087600000,0.00178370,0.00178680,0.00176770,0.00177790,47762.33000000,1590091199999,84.80824933,5003,23715.41000000,42.11040979,0
39,1590091200000,0.00177780,0.00178220,0.00177480,0.00177680,18534.01000000,1590094799999,32.96331938,1555,9690.13000000,17.23792257,0
40,1590094800000,0.00177690,0.00177910,0.00176400,0.00177340,24207.22000000,1590098399999,42.89543053,2432,8241.25000000,14.60772135,0
41,1590098400000,0.00177320,0.00177750,0.00176750,0.00177660,13910.67000000,1590101999999,24.64564174,1467,8001.36000000,14.18084669,0
42,1590102000000,0.00177590,0.00177770,0.00177200,0.00177460,9236.28000000,1590105599999,16.39390780,1289,5238.75000000,9.30015271,0
43,1590105600000,0.00177460,0.00177690,0.00176820,0.00177440,36303.35000000,1590109199999,64.34998287,2453,17714.73000000,31.40588633,0
44,1590109200000,0.00177450,0.00177950,0.00176800,0.00177890,31525.11000000,1590112799999,55.90144376,1773,14388.37000000,25.51466193,0
45,1590112800000,0.00177880,0.00178730,0.00177540,0.00178700,44752.14000000,1590116399999,79.77209693,2383,24733.14000000,44.08879615,0
46,1590116400000,0.00178700,0.00178830,0.00178150,0.00178420,36312.07000000,1590119999999,64.83793344,2356,14260.76000000,25.46627711,0
47,1590120000000,0.00178430,0.00179040,0.00177860,0.00177940,34411.24000000,1590123599999,61.46209554,2587,16374.53000000,29.25111866,0
48,1590123600000,0.00177930,0.00178580,0.00177190,0.00177390,35097.29000000,1590127199999,62.39971928,2780,15576.76000000,27.68866721,0
49,1590127200000,0.00177380,0.00178370,0.00177120,0.00178220,40667.98000000,1590130799999,72.34916841,3136,18003.81000000,32.02281738,0
50,1590130800000,0.00178240,0.00179500,0.00178240,0.00179500,36774.98000000,1590134399999,65.76518532,3460,21274.20000000,38.06012199,0
51,1590134400000,0.00179490,0.00180260,0.00179290,0.00180210,40397.67000000,1590137999999,72.66441641,2832,18002.17000000,32.39071972,0
52,1590138000000,0.00180210,0.00182000,0.00180210,0.00182000,45884.97000000,1590141599999,83.16562343,3563,26702.53000000,48.40653707,0
53,1590141600000,0.00181970,0.00182000,0.00180200,0.00180930,45231.73000000,1590145199999,81.81087455,3592,18350.59000000,33.18428009,0
54,1590145200000,0.00180920,0.00181190,0.00180320,0.00180510,17087.77000000,1590148799999,30.88856605,1670,8092.81000000,14.62986007,0
55,1590148800000,0.00180520,0.00180800,0.00180350,0.00180550,12530.44000000,1590152399999,22.62870866,1569,6525.50000000,11.78503395,0
56,1590152400000,0.00180560,0.00181040,0.00179100,0.00179600,30308.23000000,1590155999999,54.58330713,3594,14627.52000000,26.35376006,0
57,1590156000000,0.00179620,0.00180700,0.00179460,0.00180430,30938.59000000,1590159599999,55.66175460,2551,12387.21000000,22.31131470,0
58,1590159600000,0.00180430,0.00181490,0.00180090,0.00180920,35994.32000000,1590163199999,65.11100619,3444,18795.89000000,33.99734360,0
59,1590163200000,0.00180940,0.00181370,0.00180500,0.00181240,33262.58000000,1590166799999,60.19396481,3604,15741.46000000,28.48993655,0
60,1590166800000,0.00181240,0.00182760,0.00180820,0.00182200,36565.51000000,1590170399999,66.42202793,4150,23411.28000000,42.54090328,0
61,1590170400000,0.00182200,0.00182500,0.00181850,0.00182050,23897.26000000,1590173999999,43.53043448,2409,8600.24000000,15.66827123,0
62,1590174000000,0.00182040,0.00183600,0.00181200,0.00182020,38280.06000000,1590177599999,69.80544140,4911,19480.23000000,35.53393344,0
63,1590177600000,0.00182020,0.00182530,0.00181460,0.00182080,25832.29000000,1590181199999,47.02905887,2683,14266.08000000,25.97982966,0
64,1590181200000,0.00182030,0.00182330,0.00181700,0.00182020,16698.69000000,1590184799999,30.39808305,1660,8089.13000000,14.72564518,0
65,1590184800000,0.00182010,0.00182190,0.00181200,0.00181770,32608.85000000,1590188399999,59.25920663,1913,10802.65000000,19.62373435,0
66,1590188400000,0.00181760,0.00181760,0.00180400,0.00180920,58971.77000000,1590191999999,106.80396970,2926,16276.55000000,29.46618272,0
67,1590192000000,0.00180920,0.00181670,0.00180890,0.00181260,34002.19000000,1590195599999,61.67014808,1940,14221.67000000,25.79466435,0
68,1590195600000,0.00181260,0.00181790,0.00180580,0.00180800,33708.05000000,1590199199999,61.08895118,1769,15502.41000000,28.09382208,0
69,1590199200000,0.00180800,0.00181490,0.00180690,0.00181370,33876.20000000,1590202799999,61.38108477,2455,18381.98000000,33.31187339,0
70,1590202800000,0.00181360,0.00181420,0.00180830,0.00180880,37328.66000000,1590206399999,67.57032366,1576,20585.45000000,37.26463818,0
71,1590206400000,0.00180860,0.00181040,0.00179850,0.00180240,34675.71000000,1590209999999,62.56805619,2422,14677.13000000,26.48584898,0
72,1590210000000,0.00180240,0.00180330,0.00179780,0.00179900,41275.32000000,1590213599999,74.32909402,1760,9691.60000000,17.45075073,0
73,1590213600000,0.00179880,0.00180360,0.00179790,0.00180120,31835.96000000,1590217199999,57.33289319,1692,8022.89000000,14.44800039,0
74,1590217200000,0.00180140,0.00180160,0.00179970,0.00180100,27245.54000000,1590220799999,49.05431336,1520,5170.85000000,9.31060003,0
