,Aggregated TradeId,Price,Quantity,First TradeId,Last TradeId,Timestamp,Was the buyer the maker?,Was the trade the best price match?
0,65452618,0.00177920,0.56000000,79362113,79362113,1591748494708,True,True
1,65452619,0.00177920,0.56000000,79362114,79362114,1591748495332,True,True
2,65452620,0.00177920,0.56000000,79362115,79362115,1591748496095,True,True
3,65452621,0.00177920,0.05000000,79362116,79362116,1591748496636,True,True
4,65452622,0.00177910,0.51000000,79362117,79362117,1591748496636,True,True
5,65452623,0.00177920,0.56000000,79362118,79362118,1591748497129,True,True
6,65452624,0.00177940,10.00000000,79362119,79362119,1591748500755,False,True
7,65452625,0.00177940,90.24000000,79362120,79362120,1591748500756,False,True
8,65452626,0.00177940,5.00000000,79362121,79362121,1591748502296,True,True
9,65452627,0.00177950,0.33000000,79362122,79362122,1591748503012,False,True
10,65452628,0.00177950,0.33000000,79362123,79362123,1591748511503,False,True
11,65452629,0.00177950,238.72000000,79362124,79362125,1591748511609,False,True
12,65452630,0.00177970,65.27000000,79362126,79362128,1591748511609,False,True
13,65452631,0.00177970,0.59000000,79362129,79362129,1591748511609,False,True
14,65452632,0.00177980,61.30000000,79362130,79362130,1591748514633,False,True
15,65452633,0.00177990,0.06000000,79362131,79362131,1591748514633,False,True
16,65452634,0.00178000,3.03000000,79362132,79362134,1591748514633,False,True
17,65452635,0.00177990,84.24000000,79362135,79362135,1591748516967,False,True
18,65452636,0.00177920,0.15000000,79362136,79362136,1591748518439,False,True
19,65452637,0.00177920,0.43000000,79362137,79362137,1591748519234,False,True
20,65452638,0.00177920,0.83000000,79362138,79362138,1591748527478,False,True
21,65452639,0.00177920,10.00000000,79362139,79362139,1591748528988,False,True
22,65452640,0.00177910,0.48000000,79362140,79362140,1591748529426,True,True
23,65452641,0.00177920,10.01000000,79362141,79362141,1591748536282,False,True
24,65452642,0.00177920,28.58000000,79362142,79362142,1591748540022,False,True
25,65452643,0.00178010,71.15000000,79362143,79362146,1591748540022,False,True
26,65452644,0.00178020,57.81000000,79362147,79362150,1591748540022,False,True
27,65452645,0.00178030,19.02000000,79362151,79362153,1591748540022,False,True
28,65452646,0.00178040,5.24000000,79362154,79362156,1591748540022,False,True
29,65452647,0.00178050,7.28000000,79362157,79362160,1591748540022,False,True
30,65452648,0.00178060,0.40000000,79362161,79362162,1591748540022,False,True
31,65452649,0.00177920,9.45000000,79362163,79362163,1591748566290,False,True
32,65452650,0.00177920,9.45000000,79362164,79362164,1591748566302,False,True
33,65452651,0.00177920,3.03000000,79362165,79362165,1591748569971,False,True
34,65452652,0.00177920,0.96000000,79362166,79362166,1591748572498,False,True
35,65452653,0.00177910,0.19000000,79362167,79362167,1591748577414,True,True
36,65452654,0.00177920,2.00000000,79362168,79362168,1591748583692,False,True
37,65452655,0.00177920,1.16000000,79362169,79362169,1591748586685,False,True
38,65452656,0.00177920,23.95000000,79362170,79362170,1591748589110,False,True
39,65452657,0.00177940,6.20000000,79362171,79362171,1591748596243,False,True
40,65452658,0.00177930,51.44000000,79362172,79362172,1591748607681,False,True
41,65452659,0.00177940,29.54000000,79362173,79362173,1591748611656,False,True
42,65452660,0.00177940,14.25000000,79362174,79362174,1591748612191,False,True
43,65452661,0.00177940,0.01000000,79362175,79362175,1591748618455,False,True
44,65452662,0.00177960,49.30000000,79362176,79362177,1591748620313,True,True
45,65452663,0.00177970,28.00000000,79362178,79362178,1591748623104,False,True
46,65452664,0.00177970,21.99000000,79362179,79362179,1591748623613,False,True
47,65452665,0.00177960,0.07000000,79362180,79362180,1591748636621,True,True
48,65452666,0.00177970,0.01000000,79362181,79362181,1591748641813,False,True
49,65452667,0.00178060,44.97000000,79362182,79362183,1591748641813,False,True
50,65452668,0.00178070,57.44000000,79362184,79362184,1591748641813,False,True
51,65452669,0.00178080,1.97000000,79362185,79362186,1591748641813,False,True
52,65452670,0.00178090,3.84000000,79362187,79362190,1591748641813,False,True
53,65452671,0.00178100,9.08000000,79362191,79362193,1591748641813,False,True
54,65452672,0.00177990,28.21000000,79362194,79362194,1591748646723,False,True
55,65452673,0.00177990,21.79000000,79362195,79362195,1591748647251,False,True
56,65452674,0.00177980,122.42000000,79362196,79362196,1591748647402,True,True
57,65452675,0.00178070,2.00000000,79362197,79362197,1591748648334,False,True
58,65452676,0.00177980,85.13000000,79362198,79362198,1591748655172,True,True
59,65452677,0.00178010,80.07000000,79362199,79362199,1591748663697,False,True
